date,team,player,starter,minutes
2018-06-16,Iceland,Aron Einar Gunnarsson,True,75.5
2018-06-16,Iceland,Jón Daði Böðvarsson,False,0.0
2018-06-16,Iceland,Sverrir Ingi Ingason,False,0.0
2018-06-16,Iceland,Arnór Ingvi Traustason,False,0.0
2018-06-16,Iceland,Albert Gudmundsson,False,0.0
2018-06-16,Iceland,Rúnar Alex Rúnarsson,False,0.0
2018-06-16,Iceland,Samúel Kári Friðjónsson,False,0.0
2018-06-16,Iceland,Frederik August Albrecht Schram,False,0.0
2018-06-16,Iceland,Hólmar Örn Eyjólfsson,False,0.0
2018-06-16,Iceland,Ólafur Ingi Skúlason,False,0.0
2018-06-28,Belgium,Youri Tielemans,True,90.0
2018-06-28,Belgium,Mousa Sidi Yaya Dembélé,True,90.0
2018-06-28,Belgium,Jan Vertonghen,False,0.0
2018-06-28,Belgium,Kevin De Bruyne,False,0.0
2018-06-28,Belgium,Vincent Kompany,False,15.950000000000003
2018-06-28,Belgium,Thomas Meunier,False,0.0
2018-06-28,Belgium,Romelu Lukaku Menama,False,0.0
2018-06-28,Belgium,Marouane Fellaini-Bakkioui,True,90.0
2018-06-28,Belgium,Michy Batshuayi Tunga,True,90.0
2018-06-28,Belgium,Thibaut Courtois,True,90.0
2018-06-28,Belgium,Simon Mignolet,False,0.0
2018-06-28,Belgium,Eden Hazard,False,0.0
2018-06-28,Belgium,Nacer Chadli,True,90.0
2018-06-28,Belgium,Dries Mertens,False,4.566666666666663
2018-06-28,Belgium,Thorgan Hazard,True,90.0
2018-06-28,Belgium,Yannick Ferreira Carrasco,False,0.0
2018-06-28,Belgium,Anga Dedryck Boyata,True,90.0
2018-06-28,Belgium,Axel Witsel,False,0.0
2018-06-28,Belgium,Adnan Januzaj,True,85.43333333333334
2018-06-28,Belgium,Leander Dendoncker,True,90.0
2018-06-28,Belgium,Thomas Vermaelen,True,73.11666666666667
2018-06-28,Belgium,Koen Casteels,False,0.0
2018-06-28,Belgium,Toby Alderweireld,False,0.0
2018-06-28,England,Bamidele Alli,False,0.0
2018-06-28,England,Kyle Walker,False,0.0
2018-06-28,England,Raheem Sterling,False,0.0
2018-06-28,England,John Stones,True,45.0
2018-06-28,England,Jesse Lingard,False,0.0
2018-06-28,England,Kieran Trippier,False,0.0
2018-06-28,England,Phil Jones,True,90.0
2018-06-28,England,Marcus Rashford,True,90.0
2018-06-28,England,Harry Maguire,False,45.0
2018-06-28,England,Jordan Pickford,True,90.0
2018-06-28,England,Nick Pope,False,0.0
2018-06-28,England,Ruben Loftus-Cheek,True,90.0
2018-06-28,England,Jordan Brian Henderson,False,0.0
2018-06-28,England,Jack Butland,False,0.0
2018-06-28,England,Daniel Nii Tackie Mensah Welbeck,False,12.033333333333331
2018-06-28,England,Danny Rose,True,90.0
2018-06-28,England,Ashley Young,False,0.0
2018-06-28,England,Gary Cahill,True,90.0
2018-06-28,England,Trent Alexander-Arnold,True,77.96666666666667
2018-06-28,England,Fabian Delph,True,90.0
2018-06-28,England,Harry Kane,False,0.0
2018-06-28,England,Eric Dier,True,90.0
2018-06-28,England,Jamie Vardy,True,90.0
2018-07-03,Switzerland,Jacques François Moubandje,False,0.0
2018-07-03,Switzerland,Granit Xhaka,True,90.0
2018-07-03,Switzerland,Xherdan Shaqiri,True,90.0
2018-07-03,Switzerland,Denis Lemi Zakaria Lako Lado,False,0.0
2018-07-03,Switzerland,Valon Behrami,True,90.0
2018-07-03,Switzerland,Haris Seferović,False,17.36666666666666
2018-07-03,Switzerland,Ricardo Iván Rodríguez Araya,True,90.0
2018-07-03,Switzerland,Breel-Donald Embolo,False,17.549999999999997
2018-07-03,Switzerland,Michael Lang,True,92.7
2018-07-03,Switzerland,Steven Zuber,True,72.45
2018-07-03,Switzerland,Manuel Obafemi Akanji,True,90.0
2018-07-03,Switzerland,Yann Sommer,True,90.0
2018-07-03,Switzerland,Blerim Džemaili,True,72.63333333333334
2018-07-03,Switzerland,Mario Gavranović,False,0.0
2018-07-03,Switzerland,Josip Drmic,True,90.0
2018-07-03,Switzerland,Johan Danon Djourou-Gbadjere,True,90.0
2018-07-03,Switzerland,Remo Freuler,False,0.0
2018-07-03,Switzerland,Roman Bürki,False,0.0
2018-07-03,Switzerland,Gélson da Conceição Tavares Fernandes,False,0.0
2018-07-03,Switzerland,Nico Elvedi,False,0.0
2018-07-03,Switzerland,Yvon Landry Mvogo,False,0.0
2018-07-03,Sweden,Karl-Johan Johnsson,False,0.0
2018-07-03,Sweden,Martin Olsson,False,9.283333333333331
2018-07-03,Sweden,Victor Nilsson Lindelöf,True,90.0
2018-07-03,Sweden,Ola Toivonen,True,90.0
2018-07-03,Sweden,Pontus Jansson,False,0.0
2018-07-03,Sweden,Oscar Hiljemark,False,0.0
