team,player,position,rating,club_minutes_90d,national_caps,available
Algeria,Mohamed El Amine Amoura,,70.0,,2,True
Algeria,Sofiane Feghouli,,68.0,,3,True
Algeria,Ismael Bennacer,,66.0,,1,True
Algeria,Islam Slimani,,64.0,,3,True
Algeria,Kévin Daniel Van Den Kerkhof,,62.0,,3,True
Algeria,Ahmed Touba,,57.0,,3,True
Algeria,Raïs M'Bolhi Ouhab,,57.0,,3,True
Algeria,Yasser Larouci,,57.0,,3,True
Algeria,Zinéddine Belaïd,,57.0,,3,True
Algeria,Moustapha Zeghba,,52.0,,1,True
Angola,Kialonda Gaspar,,100.0,,5,True
Angola,Jacinto Muondo Dala,,98.0,,5,True
Angola,Alfredo Kulembe Ribeiro,,96.0,,5,True
Angola,Cristóvão Paciência Mabululo,,94.0,,5,True
Angola,Manuel Luís da Silva Cafumana,,92.0,,5,True
Angola,Eddie Marcos Melo Afonso,,90.0,,5,True
Angola,Jonathan Buatu Mananga,,88.0,,5,True
Angola,Adilson Cipriano da Cruz,,86.0,,4,True
Angola,Deivi Miguel Vieira,,84.0,,5,True
Angola,Augusto de Jesus Corte Real Carneiro,,82.0,,5,True
Angola,Valdomiro Tualungo Paulo Lameiras,,80.0,,5,True
Angola,Joaquim Marcos Cunga Balanga,,78.0,,5,True
Angola,Bruno Lourenço Pinto de Almeida Paz,,76.0,,5,True
Angola,Signori Dominique Nymi António,,74.0,,5,True
Angola,Zito André Sebastião Luvumbo,,72.0,,5,True
Angola,Ambrosini Antonio Cabaça Salvador,,70.0,,5,True
Angola,Núrio Domingos Matias Fortuna,,68.0,,2,True
Angola,Jérémy Bela,,66.0,,5,True
Angola,Manuel Keliano,,64.0,,5,True
Angola,Felicio Mendes Joao Milson,,62.0,,5,True
Angola,Aldo Geraldo Manuel Monteiro,,60.0,,5,True
Angola,Loide António Augusto,,58.0,,1,True
Angola,Inácio Miguel Ferreira Santos,,56.0,,2,True
Angola,Benedito Mambuene Mukendi,,54.0,,2,True
Angola,Francisco Pedro Mangala,,52.0,,1,True
Argentina,Damián Emiliano Martínez,,100.0,,13,True
Argentina,Rodrigo Javier De Paul,,98.91304347826087,,13,True
Argentina,Lionel Andrés Messi Cuccittini,,97.82608695652175,,17,True
Argentina,Cristian Gabriel Romero,,96.73913043478261,,13,True
Argentina,Alexis Mac Allister,,95.65217391304347,,13,True
Argentina,Nicolás Alejandro Tagliafico,,94.56521739130434,,17,True
Argentina,Enzo Fernandez,,93.47826086956522,,13,True
Argentina,Lisandro Martínez,,92.3913043478261,,13,True
Argentina,Julián Álvarez,,91.30434782608695,,13,True
Argentina,Ángel Fabián Di María Hernández,,90.21739130434783,,17,True
Argentina,Nahuel Molina Lucero,,89.13043478260869,,13,True
Argentina,Nicolás Hernán Otamendi,,88.04347826086956,,17,True
Argentina,Gonzalo Ariel Montiel,,86.95652173913044,,12,True
Argentina,Lautaro Javier Martínez,,85.86956521739131,,13,True
Argentina,Leandro Daniel Paredes,,84.78260869565217,,13,True
Argentina,Marcos Javier Acuña,,83.69565217391305,,16,True
Argentina,Nicolás Iván González,,82.6086956521739,,6,True
Argentina,Exequiel Alejandro Palacios,,81.52173913043478,,13,True
Argentina,Germán Alejandro Pezzella,,80.43478260869566,,13,True
Argentina,Giovani Lo Celso,,79.34782608695653,,10,True
Argentina,Guido Rodríguez,,78.26086956521739,,13,True
Argentina,Alejandro Garnacho Ferreyra,,77.17391304347825,,6,True
Argentina,Franco Armani,,76.08695652173913,,17,True
Argentina,Gerónimo Rulli,,75.0,,13,True
Argentina,Valentin Carboni,,73.91304347826087,,6,True
Argentina,Lucas Martínez Quarta,,72.82608695652173,,6,True
Argentina,Alejandro Darío Gómez,,71.73913043478261,,6,True
Argentina,Paulo Bruno Exequiel Dybala,,70.65217391304347,,11,True
Argentina,Thiago Ezequiel Almada,,69.56521739130434,,7,True
Argentina,Ángel Martín Correa,,68.47826086956522,,7,True
Argentina,Juan Marcos Foyth,,67.3913043478261,,7,True
Argentina,Javier Alejandro Mascherano,,66.30434782608695,,4,True
Argentina,Gabriel Iván Mercado,,65.21739130434783,,4,True
Argentina,Faustino Marcos Alberto Rojo,,64.13043478260869,,4,True
Argentina,Enzo Nicolás Pérez,,63.04347826086956,,4,True
Argentina,Éver Maximiliano David Banega,,61.95652173913044,,4,True
Argentina,Maximiliano Eduardo Meza,,60.869565217391305,,4,True
Argentina,Wilfredo Daniel Caballero,,59.78260869565217,,4,True
Argentina,Sergio Leonel Agüero del Castillo,,58.69565217391305,,4,True
Argentina,Eduardo Antonio Salvio,,57.608695652173914,,4,True
Argentina,Cristian David Pavón,,56.52173913043478,,4,True
Argentina,Gonzalo Gerardo Higuaín,,55.434782608695656,,4,True
Argentina,Lucas Rodrigo Biglia,,54.34782608695652,,4,True
Argentina,Federico Julián Fazio,,53.26086956521739,,4,True
Argentina,Cristian Daniel Ansaldi,,51.630434782608695,,4,True
Argentina,Nahuel Ignacio Guzmán Palomeque,,51.630434782608695,,4,True
Australia,Aaron Mooy,,98.80952380952381,,7,True
Australia,Aziz Eraltay Behich,,98.80952380952381,,7,True
Australia,Mathew Ryan,,98.80952380952381,,7,True
Australia,Mathew Leckie,,96.42857142857143,,7,True
Australia,Jackson Irvine,,95.23809523809524,,7,True
Australia,Harry Souttar,,93.45238095238096,,4,True
Australia,Kye Rowles,,93.45238095238096,,4,True
Australia,Mitchell Thomas Duke,,91.66666666666667,,4,True
Australia,Riley McGree,,90.47619047619048,,4,True
Australia,Craig Goodwin,,89.28571428571428,,4,True
Australia,Miloš Degenek,,88.0952380952381,,7,True
Australia,Keanu Baccus,,86.9047619047619,,4,True
Australia,Fran Karačić,,85.71428571428572,,4,True
Australia,Nathaniel Atkinson,,84.52380952380952,,3,True
Australia,Jamie MacLaren,,83.33333333333333,,7,True
Australia,Ajdin Hrustic,,82.14285714285714,,4,True
Australia,Garang Kuol,,80.95238095238095,,4,True
Australia,Jason Cummings,,79.76190476190476,,4,True
Australia,Bailey Wright,,78.57142857142857,,4,True
Australia,Danny Vuković,,77.38095238095238,,7,True
Australia,Andrew Redmayne,,73.80952380952381,,4,True
Australia,Cameron Peter Devlin,,73.80952380952381,,4,True
Australia,Joel King,,73.80952380952381,,4,True
Australia,Marco Tilio,,73.80952380952381,,4,True
Australia,Thomas Deng,,73.80952380952381,,4,True
Australia,Awer Denis Bul Mabil,,70.23809523809524,,3,True
Australia,Awer Mabil,,69.04761904761905,,1,True
Australia,Josh Risdon,,66.07142857142857,,3,True
Australia,Mark Milligan,,66.07142857142857,,3,True
Australia,Mile Jedinak,,66.07142857142857,,3,True
Australia,Trent Sainsbury,,66.07142857142857,,3,True
Australia,Tom Rogić,,63.095238095238095,,3,True
Australia,Robbie Kruse,,61.904761904761905,,3,True
Australia,Andrew Nabbout,,60.714285714285715,,3,True
Australia,Tomi Jurić,,59.523809523809526,,3,True
Australia,Daniel Arzani,,58.33333333333333,,3,True
Australia,Tim Cahill,,57.14285714285714,,3,True
Australia,Brad Jones,,53.57142857142857,,3,True
Australia,Dimitri Petratos,,53.57142857142857,,3,True
Australia,James Meredith,,53.57142857142857,,3,True
Australia,Massimo Luongo,,53.57142857142857,,3,True
Australia,Matthew Jurman,,53.57142857142857,,3,True
Austria,Marcel Sabitzer,,100.0,,8,True
Austria,Stefan Posch,,98.86363636363637,,6,True
Austria,Nicolas Seiwald,,97.1590909090909,,4,True
Austria,Patrick Pentz,,97.1590909090909,,4,True
Austria,Christoph Baumgartner,,95.45454545454545,,8,True
Austria,Konrad Laimer,,94.31818181818181,,8,True
Austria,Marko Arnautović,,93.18181818181819,,7,True
Austria,Florian Grillitsch,,92.04545454545455,,8,True
Austria,Philipp Lienhart,,90.9090909090909,,8,True
Austria,Philipp Mwene,,89.77272727272728,,4,True
Austria,Kevin Danso,,88.63636363636363,,4,True
Austria,Maximilian Wöber,,87.5,,4,True
Austria,Romano Schmid,,86.36363636363637,,4,True
Austria,Michael Gregoritsch,,85.22727272727272,,8,True
Austria,Alexander Prass,,84.0909090909091,,4,True
Austria,Patrick Wimmer,,82.95454545454545,,3,True
Austria,Gernot Trauner,,81.81818181818181,,3,True
Austria,Leopold Querfeld,,80.68181818181819,,4,True
Austria,Andreas Weimann,,75.56818181818181,,4,True
Austria,Flavius Daniliuc,,75.56818181818181,,4,True
Austria,Florian Kainz,,75.56818181818181,,4,True
Austria,Heinz Lindner,,75.56818181818181,,4,True
Austria,Marco Grüll,,75.56818181818181,,4,True
Austria,Matthias Seidl,,75.56818181818181,,4,True
Austria,Maximilian Entrup,,75.56818181818181,,4,True
Austria,Niklas Hedl,,75.56818181818181,,4,True
Austria,Stefan Lainer,,70.45454545454545,,4,True
Austria,Xaver Schlager,,69.31818181818181,,4,True
Austria,Daniel Bachmann,,67.04545454545455,,4,True
Austria,David Olatukunbo Alaba,,67.04545454545455,,4,True
Austria,Martin Hinteregger,,67.04545454545455,,4,True
Austria,Aleksandar Dragović,,64.77272727272728,,4,True
Austria,Andreas Ulmer,,63.63636363636363,,4,True
Austria,Sasa Kalajdzic,,62.5,,4,True
Austria,Alessandro Schöpf,,61.36363636363636,,4,True
Austria,Stefan Ilsanker,,60.22727272727273,,4,True
Austria,Alexander Schlager,,57.38636363636364,,4,True
Austria,Christopher Trimmel,,57.38636363636364,,4,True
Austria,Louis Schaub,,57.38636363636364,,4,True
Austria,Pavao Pervan,,57.38636363636364,,4,True
Austria,Valentino Lazaro,,54.54545454545455,,2,True
Austria,Karim Onisiwo,,53.40909090909091,,2,True
Austria,Julian Baumgartlinger,,52.27272727272727,,2,True
Austria,Marco Friedl,,51.13636363636363,,1,True
Belgium,Kevin De Bruyne,,100.0,,18,True
Belgium,Timothy Castagne,,98.86363636363637,,8,True
Belgium,Romelu Lukaku Menama,,97.72727272727272,,19,True
Belgium,Jan Vertonghen,,96.5909090909091,,19,True
Belgium,Jeremy Doku,,95.45454545454545,,12,True
Belgium,Amadou Onana,,94.31818181818181,,6,True
Belgium,Koen Casteels,,93.18181818181819,,14,True
Belgium,Wout Faes,,92.04545454545455,,7,True
Belgium,Yannick Ferreira Carrasco,,90.9090909090909,,19,True
Belgium,Youri Tielemans,,89.77272727272728,,19,True
Belgium,Arthur Theate,,88.63636363636363,,7,True
Belgium,Leandro Trossard,,87.5,,12,True
Belgium,Axel Witsel,,86.36363636363637,,16,True
Belgium,Zeno Debast,,85.22727272727272,,7,True
Belgium,Ikoma Loïs Openda,,84.0909090909091,,7,True
Belgium,Orel Mangala,,82.95454545454545,,4,True
Belgium,Thibaut Courtois,,81.81818181818181,,15,True
Belgium,Toby Alderweireld,,80.68181818181819,,14,True
Belgium,Dodi Lukebakio,,79.54545454545455,,3,True
Belgium,Thomas Meunier,,78.4090909090909,,14,True
Belgium,Charles De Ketelaere,,77.27272727272727,,7,True
Belgium,Johan Bakayoko,,76.13636363636364,,4,True
Belgium,Matz Sels,,75.0,,9,True
Belgium,Eden Hazard,,73.86363636363636,,14,True
Belgium,Leander Dendoncker,,72.72727272727272,,15,True
Belgium,Thorgan Hazard,,71.5909090909091,,14,True
Belgium,Thomas Kaminski,,70.45454545454545,,5,True
Belgium,Arthur Vermeeren,,68.18181818181819,,4,True
Belgium,Aster Vranckx,,68.18181818181819,,4,True
Belgium,Maxim De Cuyper,,68.18181818181819,,4,True
Belgium,Michy Batshuayi Tunga,,65.9090909090909,,15,True
Belgium,Dries Mertens,,64.77272727272728,,15,True
Belgium,Thomas Vermaelen,,63.63636363636363,,11,True
Belgium,Anga Dedryck Boyata,,62.5,,12,True
Belgium,Simon Mignolet,,61.36363636363636,,14,True
Belgium,Jason Denayer,,60.22727272727273,,5,True
Belgium,Hans Vanaken,,59.09090909090909,,4,True
Belgium,Nacer Chadli,,57.95454545454545,,10,True
Belgium,Dennis Praet,,56.81818181818182,,5,True
Belgium,Christian Benteke Liolo,,55.68181818181818,,5,True
Belgium,Vincent Kompany,,54.54545454545455,,6,True
Belgium,Marouane Fellaini-Bakkioui,,53.40909090909091,,7,True
Belgium,Mousa Sidi Yaya Dembélé,,52.27272727272727,,7,True
Belgium,Adnan Januzaj,,51.13636363636363,,7,True
Bolivia,Guillermo Viscarra Bruckner,,98.07692307692308,,3,True
Bolivia,José Manuel Sagredo Chávez,,98.07692307692308,,3,True
Bolivia,Luis Fernando Haquín Lopez,,98.07692307692308,,3,True
Bolivia,Gabriel Alejandro Villamíl Cortéz,,94.23076923076923,,3,True
Bolivia,Héctor Manuel Cuellar Rosales,,92.3076923076923,,3,True
Bolivia,Carmelo Algarañaz Añez,,90.38461538461539,,3,True
Bolivia,Miguel Ángel Terceros,,88.46153846153847,,3,True
Bolivia,Ramiro Vaca Ponce,,86.53846153846153,,3,True
Bolivia,Boris Cespedes,,84.61538461538461,,3,True
Bolivia,Yomar Rene Rocha Rodriguez,,82.6923076923077,,3,True
Bolivia,Roberto Carlos Fernández Toro,,80.76923076923077,,3,True
Bolivia,Marcelo Sebastián Suárez Justiniano,,78.84615384615384,,3,True
Bolivia,Fernando Javier Saucedo Pereyra,,76.92307692307692,,3,True
Bolivia,Bruno Miranda Villagomez,,75.0,,3,True
Bolivia,Jesús Manuel Sagredo Chávez,,73.07692307692308,,3,True
Bolivia,Leonel Justiniano Arauz,,71.15384615384616,,3,True
Bolivia,Diego Daniel Medina Roman,,69.23076923076923,,3,True
Bolivia,César Alejandro Menacho Claros,,67.3076923076923,,3,True
Bolivia,Rodrigo Luis Ramallo Cornejo,,65.38461538461539,,3,True
Bolivia,Adalid Terrazas Abasto,,63.46153846153846,,3,True
Bolivia,Lucas Leónidas Chávez Cruz,,61.53846153846154,,3,True
Bolivia,Jaume Cuéllar Mendoza,,59.61538461538461,,3,True
Bolivia,Adrian Jhonny Jusino Cerruto,,54.80769230769231,,3,True
Bolivia,Carlos Emilio Lampe Porras,,54.80769230769231,,3,True
Bolivia,Gustavo Javier Almada Gonzales,,54.80769230769231,,3,True
Bolivia,Robson Matheus Tome de Araujo Benegas,,54.80769230769231,,3,True
Brazil,Marcos Aoás Corrêa,,100.0,,14,True
Brazil,Alisson Ramsés Becker,,99.0909090909091,,14,True
Brazil,Éder Gabriel Militão,,98.18181818181819,,9,True
Brazil,Lucas Tolentino Coelho de Lima,,97.27272727272728,,9,True
Brazil,Danilo Luiz da Silva,,96.36363636363636,,10,True
Brazil,Raphael Dias Belloli,,95.45454545454545,,9,True
Brazil,Rodrygo Silva de Goes,,94.54545454545455,,9,True
Brazil,Bruno Guimarães Rodriguez Moura,,93.63636363636363,,9,True
Brazil,Vinícius José Paixão de Oliveira Júnior,,92.72727272727272,,8,True
Brazil,João Victor Gomes da Silva,,91.81818181818181,,4,True
Brazil,Guilherme Antonio Arana Lopes,,90.9090909090909,,4,True
Brazil,Wendell Nascimento Borges,,90.0,,4,True
Brazil,Endrick Felipe Moreira de Sousa,,89.0909090909091,,4,True
Brazil,Sávio Moreira de Oliveira,,88.18181818181819,,4,True
Brazil,Gabriel Teodoro Martinelli Silva,,87.27272727272728,,9,True
Brazil,Gleison Bremer Silva Nascimento,,86.36363636363637,,9,True
Brazil,Thiago Emiliano da Silva,,85.45454545454545,,10,True
Brazil,Carlos Henrique Casimiro,,84.54545454545455,,9,True
Brazil,Richarlison de Andrade,,83.63636363636363,,5,True
Brazil,Andreas Hoelgebaum Pereira,,82.72727272727272,,4,True
Brazil,Douglas Luiz Soares de Paulo,,81.81818181818181,,4,True
Brazil,Neymar da Silva Santos Junior,,80.9090909090909,,8,True
Brazil,Éderson José dos Santos Lourenço da Silva,,80.0,,4,True
Brazil,Gabriel dos Santos Magalhães,,79.0909090909091,,4,True
Brazil,Francisco Evanilson de Lima Barbosa,,78.18181818181819,,4,True
Brazil,Bento Matheus Krepski Neto,,75.45454545454545,,4,True
Brazil,Eduardo Gabriel Aquino Cossa,,75.45454545454545,,4,True
Brazil,Lucas Lopes Beraldo,,75.45454545454545,,4,True
Brazil,Rafael Pires Monteiro,,75.45454545454545,,4,True
Brazil,Yan Bueno Couto,,75.45454545454545,,4,True
Brazil,Frederico Rodrigues Santos,,72.72727272727272,,9,True
Brazil,Alex Sandro Lobo Silva,,71.81818181818181,,3,True
Brazil,Daniel Alves da Silva,,70.9090909090909,,5,True
Brazil,Ederson Santana de Moraes,,70.0,,10,True
Brazil,Antony Matheus dos Santos,,69.0909090909091,,5,True
Brazil,Fábio Henrique Tavares,,68.18181818181819,,5,True
Brazil,Gabriel Fernando de Jesus,,67.27272727272728,,8,True
Brazil,Éverton Augusto de Barros Ribeiro,,66.36363636363636,,5,True
Brazil,Alex Nicolao Telles,,65.45454545454545,,3,True
Brazil,Pedro Guilherme Abreu dos Santos,,64.54545454545455,,5,True
Brazil,Weverton Pereira da Silva,,63.63636363636363,,5,True
Brazil,João Miranda de Souza Filho,,62.72727272727273,,5,True
Brazil,Philippe Coutinho Correia,,61.81818181818182,,5,True
Brazil,Willian Borges da Silva,,60.90909090909091,,5,True
Brazil,José Paulo Bezzera Maciel Júnior,,60.0,,5,True
Brazil,Fágner Conserva Lemos,,59.09090909090909,,5,True
Brazil,Marcelo Vieira da Silva Júnior,,58.18181818181818,,5,True
Brazil,Filipe Luís Kasmirski,,57.27272727272727,,5,True
Brazil,Fernando Luiz Roza,,56.36363636363636,,5,True
Brazil,Roberto Firmino Barbosa de Oliveira,,55.45454545454545,,5,True
Brazil,Renato Soares de Oliveira Augusto,,54.54545454545455,,5,True
Brazil,Cássio Ramos,,52.72727272727273,,5,True
Brazil,Pedro Tonon Geromel,,52.72727272727273,,5,True
Brazil,Taison Barcellos Freda,,52.72727272727273,,5,True
Brazil,Douglas Costa de Souza,,50.90909090909091,,3,True
Burkina Faso,Edmond Fayçal Tapsoba,,98.07692307692308,,4,True
Burkina Faso,Issoufou Dayo,,98.07692307692308,,4,True
Burkina Faso,Kouakou Herve Koffi,,98.07692307692308,,4,True
Burkina Faso,Issa Kabore,,94.23076923076923,,4,True
Burkina Faso,Gustavo Fabrice Sangaré,,92.3076923076923,,4,True
Burkina Faso,Steeve Yago,,90.38461538461539,,4,True
Burkina Faso,Ibrahim Blati Touré,,88.46153846153847,,3,True
Burkina Faso,Mohamed Konaté,,86.53846153846153,,3,True
Burkina Faso,Ismahila Ouédraogo,,84.61538461538461,,4,True
Burkina Faso,Bertrand Isidore Traoré,,82.6923076923077,,4,True
Burkina Faso,Abdoul Fessal Tapsoba,,80.76923076923077,,4,True
Burkina Faso,Stephane Aziz Ki,,78.84615384615384,,4,True
Burkina Faso,Cédric Badolo,,76.92307692307692,,4,True
Burkina Faso,Adamo Nagalo,,75.0,,4,True
Burkina Faso,Adama Guira,,73.07692307692308,,2,True
Burkina Faso,Abdoul Razack Guiebre,,71.15384615384616,,4,True
Burkina Faso,Mamady Alex Bangré,,69.23076923076923,,4,True
Burkina Faso,Dango Aboubacar Faissal Ouattara,,67.3076923076923,,2,True
Burkina Faso,Djibril Cheick Ouattara,,65.38461538461539,,4,True
Burkina Faso,Dramane Salou,,62.5,,4,True
Burkina Faso,Yacouba Nasser Djiga,,62.5,,4,True
Burkina Faso,Killian Basba Geeke Nikiéma,,58.65384615384615,,4,True
Burkina Faso,Yored Hillel Konaté,,58.65384615384615,,4,True
Burkina Faso,Boureima Hassane Bandé,,55.76923076923077,,3,True
Burkina Faso,Sacha Jordan Bansé,,53.84615384615385,,2,True
Burkina Faso,Valentin Nouma,,51.92307692307692,,1,True
Cameroon,André-Frank Zambo Anguissa,,100.0,,7,True
Cameroon,Jean-Charles Castelletto,,98.75,,6,True
Cameroon,Nouhou Tolo,,97.5,,7,True
Cameroon,Christopher Wooh,,96.25,,7,True
Cameroon,Georges-Kévin Nkoudou Mbida,,95.0,,7,True
Cameroon,Karl Brillant Toko Ekambi,,93.75,,7,True
Cameroon,Frank Magri,,92.5,,4,True
Cameroon,Jules Olivier Ntcham,,91.25,,7,True
Cameroon,Joseph Fabrice Ondoa Ebogo,,90.0,,4,True
Cameroon,Nicolas Moumi Ngamaleu,,88.75,,7,True
Cameroon,Enzo Gianni Tchato Mbiayi,,87.5,,4,True
Cameroon,Olivier Michel Kemen,,86.25,,4,True
Cameroon,Darlin Zidane Yongwa Ngameni,,85.0,,4,True
Cameroon,Devis Rogers Epassy Mboka,,83.75,,7,True
Cameroon,André Onana,,82.5,,4,True
Cameroon,Oumar Gonzalez,,81.25,,4,True
Cameroon,Harold Moukoudi,,80.0,,4,True
Cameroon,Yvan Neyou Noupa,,78.75,,4,True
Cameroon,Ngoran Suiru Fai Collins,,77.5,,3,True
Cameroon,Jean-Eric Maxim Choupo-Moting,,76.25,,3,True
Cameroon,Bryan Mbeumo,,75.0,,3,True
Cameroon,Faris Pemi Moumbagna,,73.75,,4,True
Cameroon,Vincent Paté Aboubakar,,72.5,,4,True
Cameroon,Junior Tchamadeu,,71.25,,4,True
Cameroon,Benjamin Elliott,,70.0,,4,True
Cameroon,Pierre Kunde Malong,,68.75,,3,True
Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,,67.5,,2,True
Cameroon,Martin Hongla Yma II,,66.25,,2,True
Cameroon,Christian Leonel Ateba Mbida,,65.0,,3,True
Cameroon,Samuel Yves Oum Gwet,,63.75,,3,True
Cameroon,Enzo Ebosse,,62.5,,3,True
Cameroon,Simon Brady Ngapandouetnbu,,61.25,,4,True
Cameroon,Clinton Mua N'Jie,,60.0,,2,True
Cameroon,Malcom Bokele Mputu,,58.75,,2,True
Cameroon,Gaël Ondoua,,57.5,,3,True
Cameroon,Christian Mougang Bassogog,,56.25,,3,True
Cameroon,Jerome Ngom Mbekeli,,55.0,,3,True
Cameroon,Jean Pierre Nsamé,,52.5,,3,True
Cameroon,Olivier Mbaissidara Mbaizo,,52.5,,3,True
Cameroon,Souaibou Marou,,52.5,,3,True
Canada,Alistair Johnston,,100.0,,9,True
Canada,Alphonso Davies,,98.64864864864865,,9,True
Canada,Jonathan David,,97.29729729729729,,9,True
Canada,Moise Bombito,,95.94594594594595,,6,True
Canada,Stephen Antunes Eustáquio,,94.5945945945946,,9,True
Canada,Cyle Larin,,93.24324324324324,,9,True
Canada,Richie Laryea,,91.8918918918919,,9,True
Canada,Derek Cornelius,,90.54054054054055,,9,True
Canada,Maxime Crépeau,,89.1891891891892,,6,True
Canada,Ismael Koné,,87.83783783783784,,9,True
Canada,Jonathan Osorio,,86.48648648648648,,9,True
Canada,Jacob Shaffelburg,,85.13513513513513,,6,True
Canada,Liam Millar,,83.78378378378378,,9,True
Canada,Kamal Miller,,82.43243243243244,,9,True
Canada,Dayne Tristan St. Clair,,81.08108108108108,,9,True
Canada,Tajon Buchanan,,79.72972972972973,,6,True
Canada,Tanitoluwa Oluwaseyi,,78.37837837837839,,6,True
Canada,Ali Ahmed,,77.02702702702703,,6,True
Canada,Mathieu Choiniere,,75.67567567567568,,6,True
Canada,Luc Rollet De Fougerolles,,74.32432432432432,,6,True
Canada,Joel Waterman,,72.29729729729729,,9,True
Canada,Samuel Piette,,72.29729729729729,,9,True
Canada,Thelonius Bair,,70.27027027027027,,6,True
Canada,Jacen Russell-Rowe,,68.91891891891892,,6,True
Canada,Kyle Hiebert,,66.89189189189189,,6,True
Canada,Thomas McGill,,66.89189189189189,,6,True
Canada,Milan Borjan,,64.1891891891892,,3,True
Canada,Steven de Sousa Vitoria,,64.1891891891892,,3,True
Canada,David Junior Hoilett,,62.16216216216216,,3,True
Canada,Atiba Hutchinson,,60.81081081081081,,3,True
Canada,Sam Adekugbe,,59.45945945945946,,3,True
Canada,Mark Anthony Kaye,,58.10810810810811,,3,True
Canada,Lucas Daniel Cavallini,,56.75675675675676,,3,True
Canada,David Wallace Wotherspoon,,55.4054054054054,,3,True
Canada,Ike Ugbo,,52.7027027027027,,3,True
Canada,James Pantemis,,52.7027027027027,,3,True
Canada,Liam Fraser,,52.7027027027027,,3,True
Cape Verde Islands,Josimar José Évora Dias,,98.95833333333333,,5,True
Cape Verde Islands,Logan Costa,,98.95833333333333,,5,True
Cape Verde Islands,Kevin Lenini Gonçalves Pereira de Pina,,95.83333333333333,,5,True
Cape Verde Islands,Ryan Isaac Mendes da Graça,,93.75,,5,True
Cape Verde Islands,João Paulo Moreira Fernandes,,91.66666666666667,,5,True
Cape Verde Islands,Steven Moreira,,89.58333333333333,,5,True
Cape Verde Islands,Jamiro Gregory Monteiro Alvarenga,,87.5,,5,True
Cape Verde Islands,Roberto Lopes,,85.41666666666667,,5,True
Cape Verde Islands,Jovane Eduardo Borges Cabral,,83.33333333333333,,5,True
Cape Verde Islands,Deroy Duarte,,81.25,,5,True
Cape Verde Islands,Kenny Rocha Santos,,79.16666666666667,,5,True
Cape Verde Islands,Tiago Manuel Dias Correia,,77.08333333333333,,4,True
Cape Verde Islands,Garry Mendes Rodrigues,,75.0,,5,True
Cape Verde Islands,Willy Afonso Semedo Johnson,,72.91666666666666,,5,True
Cape Verde Islands,Gilson Benchimol Tavares,,70.83333333333334,,5,True
Cape Verde Islands,Dylan Tavares dos Santos,,67.70833333333334,,5,True
Cape Verde Islands,Edilson Alberto Monteiro Sanches Borges,,67.70833333333334,,5,True
Cape Verde Islands,Erickson Patrick Correia Andrade,,64.58333333333333,,4,True
Cape Verde Islands,Bryan Alberto Silva Teixeira Jr.,,62.5,,5,True
Cape Verde Islands,Carlos Miguel Pereira Fernandes,,60.41666666666667,,5,True
Cape Verde Islands,Dylan Ayrton Garcia Silva,,58.33333333333333,,5,True
Cape Verde Islands,Laros Duarte,,56.25,,4,True
